PLAYER,TEAM,GP,W,L,MIN,DRIVES,FGM,FGA,FG%,FTM,FTA,FT%,PTS,PTS%,PASS,PASS%,AST,AST%,TO,TOV%,PF,PF%
T.J. Warren,PHX,42,26,16,687,97,28,71,39.4,7,10,70,63,64.9,17,17.5,4,4.1,4,4.1,5,5.2
Taj Gibson,WAS,49,21,28,480,7,2,4,50,0,0,0,5,71.4,3,42.9,0,0,0,0,0,0
Talen Horton-Tucker,UTA,65,30,35,1313,640,157,307,51.1,75,101,74.3,397,62,212,33.1,55,8.6,59,9.2,50,7.8
Tari Eason,HOU,82,22,60,1767,329,56,149,37.6,28,33,84.8,145,44.1,125,38,22,6.7,28,8.5,16,4.9
Taurean Prince,MIN,53,30,23,1167,201,53,97,54.6,14,21,66.7,123,61.2,62,30.8,16,8,25,12.4,11,5.5
Terance Mann,LAC,81,44,37,1872,348,68,136,50,46,51,90.2,186,53.4,157,45.1,41,11.8,22,6.3,26,7.5
Terence Davis,SAC,64,38,26,841,134,19,42,45.2,18,22,81.8,56,41.8,58,43.3,11,8.2,19,14.2,11,8.2
Terrence Ross,PHX,63,27,36,1331,132,43,83,51.8,8,8,100,95,72,36,27.3,11,8.3,5,3.8,4,3
Terry Rozier,CHA,63,19,44,2221,808,175,393,44.5,75,95,78.9,436,54,308,38.1,69,8.5,36,4.5,47,5.8
Terry Taylor,CHI,31,13,18,263,30,10,19,52.6,3,4,75,23,76.7,7,23.3,1,3.3,2,6.7,2,6.7
Thaddeus Young,TOR,54,23,31,795,43,12,20,60,4,6,66.7,28,65.1,17,39.5,4,9.3,3,7,3,7
Thanasis Antetokounmpo,MIL,37,25,12,206,19,4,10,40,3,4,75,11,57.9,6,31.6,1,5.3,1,5.3,2,10.5
Theo Maledon,CHA,44,14,30,854,323,51,119,42.9,37,41,90.2,144,44.6,164,50.8,38,11.8,14,4.3,21,6.5
Theo Pinson,DAL,40,19,21,323,30,3,9,33.3,1,2,50,8,26.7,17,56.7,3,10,3,10,1,3.3
Thomas Bryant,DEN,59,33,26,1082,18,6,8,75,2,4,50,15,83.3,4,22.2,0,0,3,16.7,2,11.1
Tim Hardaway Jr.,DAL,71,37,34,2152,207,44,116,37.9,30,42,71.4,122,58.9,55,26.6,10,4.8,11,5.3,21,10.1
Tobias Harris,PHI,74,47,27,2436,450,107,215,49.8,32,37,86.5,255,56.7,180,40,42,9.3,27,6,19,4.2
Tony Bradley,CHI,11,4,7,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Torrey Craig,PHX,79,44,35,1948,151,30,67,44.8,5,8,62.5,66,43.7,58,38.4,18,11.9,17,11.3,4,2.6
Trae Young,ATL,73,38,35,2541,1344,289,620,46.6,201,226,88.9,798,59.4,505,37.6,167,12.4,77,5.7,113,8.4
Tre Jones,SAS,65,19,46,1891,742,176,391,45,56,64,87.5,416,56.1,269,36.3,65,8.8,33,4.4,32,4.3
Tre Mann,OKC,67,31,36,1183,418,73,169,43.2,22,28,78.6,174,41.6,200,47.8,43,10.3,26,6.2,14,3.3
Trendon Watford,POR,61,26,35,1162,220,69,108,63.9,34,44,77.3,178,80.9,72,32.7,15,6.8,13,5.9,22,10
Trent Forrest,ATL,23,9,14,277,99,18,43,41.9,0,0,0,37,37.4,50,50.5,15,15.2,4,4,0,0
Trevelin Queen,IND,7,2,5,70,8,1,3,33.3,0,0,0,2,25,5,62.5,0,0,0,0,0,0
Trevor Hudgins,HOU,5,0,5,28,3,0,1,0,0,0,0,0,0,2,66.7,0,0,0,0,0,0
Trevor Keels,NYK,3,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trey Lyles,SAC,74,43,31,1247,173,37,67,55.2,36,44,81.8,117,67.6,65,37.6,21,12.1,15,8.7,22,12.7
Trey Murphy III,NOP,79,39,40,2448,257,62,118,52.5,52,58,89.7,182,70.8,91,35.4,25,9.7,14,5.4,29,11.3
Troy Brown Jr.,LAL,76,40,36,1860,92,23,54,42.6,2,2,100,51,55.4,29,31.5,4,4.3,7,7.6,1,1.1
Ty Jerome,GSW,45,22,23,816,245,54,108,50,24,27,88.9,136,55.5,112,45.7,28,11.4,8,3.3,14,5.7
TyTy Washington Jr.,HOU,31,6,25,433,96,28,54,51.9,4,6,66.7,61,63.5,36,37.5,7,7.3,3,3.1,3,3.1
Tyler Dorsey,DAL,3,2,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyler Herro,MIA,67,37,30,2335,717,173,335,51.6,75,86,87.2,432,60.3,279,38.9,69,9.6,45,6.3,43,6
Tyrese Haliburton,IND,56,28,28,1883,850,168,315,53.3,68,81,84,428,50.4,443,52.1,126,14.8,34,4,42,4.9
Tyrese Martin,ATL,16,10,6,66,7,1,4,25,2,2,100,4,57.1,2,28.6,0,0,0,0,1,14.3
Tyrese Maxey,PHI,60,39,21,2016,557,170,334,50.9,79,96,82.3,433,77.7,148,26.6,39,7,18,3.2,48,8.6
Tyus Jones,MEM,80,51,29,1939,420,125,255,49,24,32,75,277,66,129,30.7,30,7.1,14,3.3,16,3.8
Udoka Azubuike,UTA,36,17,19,359,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,100
Udonis Haslem,MIA,7,4,3,72,3,1,2,50,0,0,0,2,66.7,1,33.3,0,0,0,0,0,0
Usman Garuba,HOU,75,21,54,970,13,3,5,60,3,4,75,9,69.2,4,30.8,0,0,1,7.7,2,15.4
Vernon Carey Jr.,UTA,11,8,3,28,2,0,1,0,0,0,0,0,0,1,50,1,50,0,0,0,0
Victor Oladipo,MIA,42,23,19,1106,252,48,109,44,28,37,75.7,124,49.2,99,39.3,18,7.1,16,6.3,18,7.1
Vince Williams Jr.,MEM,15,7,8,105,6,3,4,75,0,0,0,6,100,1,16.7,0,0,0,0,0,0
